app,category,
app1,AN,1
app2,AN,2
app3,AN,3
app4,AN,4
app5,AN,5
app6,AN,6
app11,TS,7
app12,TS,8
app13,TS,9
app14,TS,10
app15,TS,11
app16,TS,12
app21,RT,13
app22,RT,14
app23,RT,15
app24,RT,16
app25,RT,17
app26,RT,18
app27,RT,19
app28,RT,20
app29,RT,21
app36,VS,22
app37,VS,23
app38,VS,24
app39,VS,25
app40,VS,26
app41,VS,27
app42,VS,28
app43,VS,29
app44,VS,30
